agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
000038,ASM-bti (Aare Seeland mobil (bti)),http://www.sbb.ch,Europe/Berlin,,
000056,ASM-rvo (Aare Seeland mobil (rvo)),http://www.sbb.ch,Europe/Berlin,,
000081,ASM-snb (Aare Seeland mobil (snb)),http://www.sbb.ch,Europe/Berlin,,
000031,AVA-bd (Aargau Verkehr AG),http://www.sbb.ch,Europe/Berlin,,
000096,AVA-wsb (Aargau Verkehr AG),http://www.sbb.ch,Europe/Berlin,,
000022,AB-ab (Appenzeller Bahnen (ab)),http://www.sbb.ch,Europe/Berlin,,
003271,ANAT (Association neuchâteloise des Amis du Tramway ANAT),http://www.sbb.ch,Europe/Berlin,,
000033,BLS-bls (BLS AG (bls)),http://www.sbb.ch,Europe/Berlin,,
000035,BOB (Berner Oberland-Bahnen),http://www.sbb.ch,Europe/Berlin,,
000140,BOB-spb (Berner Oberland-Bahnen),http://www.sbb.ch,Europe/Berlin,,
000104,BRB (Brienz Rothorn Bahn AG),http://www.sbb.ch,Europe/Berlin,,
000043,CJ (Chemins de fer du Jura),http://www.sbb.ch,Europe/Berlin,,
06____,DB Regio (DB Regio AG),http://www.sbb.ch,Europe/Berlin,,
800631,DB Regio (DB Regio AG Baden-Württemberg),http://www.sbb.ch,Europe/Berlin,,
800693,DB Regio (DB Regio AG Baden-Württemberg),http://www.sbb.ch,Europe/Berlin,,
8006C4,DB Regio (DB Regio AG Baden-Württemberg),http://www.sbb.ch,Europe/Berlin,,
8006C5,DB Regio (DB Regio AG Baden-Württemberg),http://www.sbb.ch,Europe/Berlin,,
000160,DFB (Dampfbahn Furka-Bergstrecke),http://www.sbb.ch,Europe/Berlin,,
000908,DVZO (Dampfbahn-Verein Zürcher Oberland),http://www.sbb.ch,Europe/Berlin,,
009999,DIVINFO (Diverse INFO),http://www.sbb.ch,Europe/Berlin,,
80_VHB,VHB (FPLAN VHB SBP),http://www.sbb.ch,Europe/Berlin,,
000129,MG (Ferrovia Monte Generoso),http://www.sbb.ch,Europe/Berlin,,
000049,FART (Ferrovie Autolinee Regionali Ticinesi),http://www.sbb.ch,Europe/Berlin,,
000121,GGB (Gornergratbahn),http://www.sbb.ch,Europe/Berlin,,
000124,JB (Jungfraubahn),http://www.sbb.ch,Europe/Berlin,,
000055,LEB (Lausanne-Echallens-Bercher),http://www.sbb.ch,Europe/Berlin,,
000032,BLM (Lauterbrunnen-Mürren),http://www.sbb.ch,Europe/Berlin,,
000047,FLP (Lugano-Ponte Tresa),http://www.sbb.ch,Europe/Berlin,,
000093,MGB-bvz (Matterhorn Gotthard Bahn (bvz)),http://www.sbb.ch,Europe/Berlin,,
000048,MGB-fo (Matterhorn Gotthard Bahn (fo)),http://www.sbb.ch,Europe/Berlin,,
000064,MOB (Montreux-Oberland Bernois),http://www.sbb.ch,Europe/Berlin,,
000042,MVR-cev (Montreux-Vevey-Riviera (cev)),http://www.sbb.ch,Europe/Berlin,,
000131,MVR-mtgn (Montreux-Vevey-Riviera (mtgn)),http://www.sbb.ch,Europe/Berlin,,
085000,NA_85000 (NA_85000),http://www.sbb.ch,Europe/Berlin,,
817000,NeTS-ÖBB (NeTS Planung ÖBB),http://www.sbb.ch,Europe/Berlin,,
000066,NStCM (Nyon-St-Cergue-Morez),http://www.sbb.ch,Europe/Berlin,,
000068,OeBB (Oensingen-Balsthal-Bahn),http://www.sbb.ch,Europe/Berlin,,
000136,PB (Pilatusbahnen),http://www.sbb.ch,Europe/Berlin,,
000074,RA (Regionalps),http://www.sbb.ch,Europe/Berlin,,
000088,RBS (Regionalverkehr Bern-Solothurn),http://www.sbb.ch,Europe/Berlin,,
000072,RhB (Rhätische Bahn),http://www.sbb.ch,Europe/Berlin,,
000137,RB (Rigi Bahnen AG),http://www.sbb.ch,Europe/Berlin,,
L7____,SBB (SBB GmbH),http://www.sbb.ch,Europe/Berlin,,
000351,SBB GmbH (SBB GmbH (Grenzverkehr)),http://www.sbb.ch,Europe/Berlin,,
007231,SBB-EV (SBB Infrastruktur AG Bahnersatz),http://www.sbb.ch,Europe/Berlin,,
000011,SBB (Schweizerische Bundesbahnen SBB),http://www.sbb.ch,Europe/Berlin,,
000082,SOB-sob (Schweizerische Südostbahn (sob)),http://www.sbb.ch,Europe/Berlin,,
000078,SZU (Sihltal-Zürich-Uetliberg-Bahn),http://www.sbb.ch,Europe/Berlin,,
87_LEX,SNCF (Société Nationale des Chemins de fer Français),http://www.sbb.ch,Europe/Berlin,,
000371,BC-cmBC (Société coopérative du Chemin de fer - Musée Blonay-Chamby),http://www.sbb.ch,Europe/Berlin,,
000065,THURBO (THURBO),http://www.sbb.ch,Europe/Berlin,,
007255,TRN-EV (Transport Publics Neuchâtelois SA Ersatzverkehr),http://www.sbb.ch,Europe/Berlin,,
000044,TRN-cmn (Transports Publics Neuchâtelois SA (cmn)),http://www.sbb.ch,Europe/Berlin,,
000073,TRN-rvt (Transports Publics Neuchâtelois SA (rvt)),http://www.sbb.ch,Europe/Berlin,,
000151,TL (Transports Publics de la Région Lausannoise sa),http://www.sbb.ch,Europe/Berlin,,
000023,TPC (Transports Publics du Chablais),http://www.sbb.ch,Europe/Berlin,,
000097,TRAVYS (Transports Vallée de Joux-Yverdon-Ste-Croix),http://www.sbb.ch,Europe/Berlin,,
000069,TRAVYS-p (Transports Vallée de Joux-Yverdon-Ste-Croix (pbr)),http://www.sbb.ch,Europe/Berlin,,
000061,TMR-mc (Transports de Martigny et Régions (mc)),http://www.sbb.ch,Europe/Berlin,,
000029,MBC (Transports de la région Morges-Bière-Cossonay),http://www.sbb.ch,Europe/Berlin,,
000053,TPF (Transports publics fribourgeois),http://www.sbb.ch,Europe/Berlin,,
327000,TN (TreNord),http://www.sbb.ch,Europe/Berlin,,
009014,VDBB (Verein Dampfbahn Bern),http://www.sbb.ch,Europe/Berlin,,
000803,VerAlp (VerticAlp Vallée du Trient SA),http://www.sbb.ch,Europe/Berlin,,
000157,WAB (Wengernalpbahn),http://www.sbb.ch,Europe/Berlin,,
000086,ZB (Zentralbahn),http://www.sbb.ch,Europe/Berlin,,
81____,ÖBB (Österreichische Bundesbahnen),http://www.sbb.ch,Europe/Berlin,,
