route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
000003.000011.101:3,000011,ICE,ICE 3,,2,,FFFFFE,FF0000
000003.000011.102:3,000011,ICE,ICE 3,,2,,FFFFFE,FF0000
000003.000011.103:3,000011,ICE,ICE 3,,2,,FFFFFE,FF0000
000003.000011.104:3,000011,ICE,ICE 3,,2,,FFFFFE,FF0000
000004.000011.101:4,000011,ICE,ICE 4,,2,,FFFFFE,FF0000
000004.000011.102:4,000011,ICE,ICE 4,,2,,FFFFFE,FF0000
000004.000011.103:4,000011,ICE,ICE 4,,2,,FFFFFE,FF0000
000004.000011.104:4,000011,ICE,ICE 4,,2,,FFFFFE,FF0000
000004.000011.105:4,000011,ICE,ICE 4,,2,,FFFFFE,FF0000
000004.000011.106:4,000011,ICE,ICE 4,,2,,FFFFFE,FF0000
000004.000011.107:4,000011,ICE,ICE 4,,2,,FFFFFE,FF0000
000004.000011.108:4,000011,ICE,ICE 4,,2,,FFFFFE,FF0000
000005.000011.101:5,000011,ICE,ICE 5,,2,,FFFFFE,FF0000
000006.000011.101:6,000011,EC,EC 6,,2,,FF0000,F2F2F2
000006.000011.102:6,000011,EC,EC 6,,2,,FF0000,F2F2F2
000006.000011.103:6,000011,EC,EC 6,,2,,FF0000,F2F2F2
000006.000011.104:6,000011,EC,EC 6,,2,,FF0000,F2F2F2
000006.000011.105:6,000011,EC,EC 6,,2,,FF0000,F2F2F2
000006.000011.106:6,000011,EC,EC 6,,2,,FF0000,F2F2F2
000006.000011.107:6,000011,EC,EC 6,,2,,FF0000,F2F2F2
000006.000011.108:6,000011,EC,EC 6,,2,,FF0000,F2F2F2
000006.000011.109:6,000011,EC,EC 6,,2,,FF0000,F2F2F2
000006.000011.110:6,000011,EC,EC 6,,2,,FF0000,F2F2F2
000006.000011.111:6,000011,EC,EC 6,,2,,FF0000,F2F2F2
000007.000011.101:7,000011,EC,EC 7,,2,,FF0000,F2F2F2
000007.000011.102:7,000011,EC,EC 7,,2,,FF0000,F2F2F2
000007.000011.103:7,000011,EC,EC 7,,2,,FF0000,F2F2F2
000007.000011.104:7,000011,EC,EC 7,,2,,FF0000,F2F2F2
000007.000011.106:7,000011,EC,EC 7,,2,,FF0000,F2F2F2
000007.000011.107:7,000011,EC,EC 7,,2,,FF0000,F2F2F2
000007.000011.108:7,000011,EC,EC 7,,2,,FF0000,F2F2F2
000007.000011.109:7,000011,EC,EC 7,,2,,FF0000,F2F2F2
000007.000011.110:7,000011,EC,EC 7,,2,,FF0000,F2F2F2
000007.000011.113:7,000011,EC,EC 7,,2,,FF0000,F2F2F2
000007.000011.114:7,000011,EC,EC 7,,2,,FF0000,F2F2F2
000008.000011.101:8,000011,EC,EC 8,,2,,FF0000,F2F2F2
000008.000011.102:8,000011,EC,EC 8,,2,,FF0000,F2F2F2
000008.000011.103:8,000011,EC,EC 8,,2,,FF0000,F2F2F2
000008.000011.104:8,000011,EC,EC 8,,2,,FF0000,F2F2F2
000008.000011.105:8,000011,EC,EC 8,,2,,FF0000,F2F2F2
000008.000011.106:8,000011,EC,EC 8,,2,,FF0000,F2F2F2
000008.000011.107:8,000011,EC,EC 8,,2,,FF0000,F2F2F2
000008.000011.108:8,000011,EC,EC 8,,2,,FF0000,F2F2F2
000009.000011.101:9,000011,EC,EC 9,,2,,FF0000,F2F2F2
000009.000011.102:9,000011,EC,EC 9,,2,,FF0000,F2F2F2
000009.000011.103:9,000011,EC,EC 9,,2,,FF0000,F2F2F2
000009.000011.104:9,000011,EC,EC 9,,2,,FF0000,F2F2F2
000009.000011.106:9,000011,EC,EC 9,,2,,FF0000,F2F2F2
000009.000011.107:9,000011,EC,EC 9,,2,,FF0000,F2F2F2
000009.000011.108:9,000011,EC,EC 9,,2,,FF0000,F2F2F2
000009.000011.109:9,000011,EC,EC 9,,2,,FF0000,F2F2F2
000009.000011.110:9,000011,EC,EC 9,,2,,FF0000,F2F2F2
000009.000011.112:9,000011,EC,EC 9,,2,,FF0000,F2F2F2
000010.000011.101:10,000011,EC,EC 10,,2,,FF0000,F2F2F2
000010.000011.102:10,000011,EC,EC 10,,2,,FF0000,F2F2F2
000010.000011.103:10,000011,EC,EC 10,,2,,FF0000,F2F2F2
000010.000011.104:10,000011,EC,EC 10,,2,,FF0000,F2F2F2
000010.000011.105:10,000011,EC,EC 10,,2,,FF0000,F2F2F2
000011.000011.101:11,000011,EC,EC 11,,2,,FF0000,F2F2F2
000011.000011.102:11,000011,EC,EC 11,,2,,FF0000,F2F2F2
000011.000011.103:11,000011,EC,EC 11,,2,,FF0000,F2F2F2
000011.000011.104:11,000011,EC,EC 11,,2,,FF0000,F2F2F2
000011.000011.105:11,000011,EC,EC 11,,2,,FF0000,F2F2F2
000011.000011.106:11,000011,EC,EC 11,,2,,FF0000,F2F2F2
000011.000011.107:11,000011,EC,EC 11,,2,,FF0000,F2F2F2
000011.000011.108:11,000011,EC,EC 11,,2,,FF0000,F2F2F2
000012.000011.101:12,000011,EC,EC 12,,2,,FF0000,F2F2F2
000012.000011.102:12,000011,EC,EC 12,,2,,FF0000,F2F2F2
000012.000011.104:12,000011,EC,EC 12,,2,,FF0000,F2F2F2
000012.000011.105:12,000011,EC,EC 12,,2,,FF0000,F2F2F2
000012.000011.106:12,000011,EC,EC 12,,2,,FF0000,F2F2F2
000013.000011.101:13,000011,EC,EC 13,,2,,FF0000,F2F2F2
000013.000011.102:13,000011,EC,EC 13,,2,,FF0000,F2F2F2
000013.000011.103:13,000011,EC,EC 13,,2,,FF0000,F2F2F2
000013.000011.104:13,000011,EC,EC 13,,2,,FF0000,F2F2F2
000013.000011.105:13,000011,EC,EC 13,,2,,FF0000,F2F2F2
000013.000011.106:13,000011,EC,EC 13,,2,,FF0000,F2F2F2
000013.000011.107:13,000011,EC,EC 13,,2,,FF0000,F2F2F2
000013.000011.108:13,000011,EC,EC 13,,2,,FF0000,F2F2F2
000014.000011.101:14,000011,EC,EC 14,,2,,FF0000,F2F2F2
000014.000011.103:14,000011,EC,EC 14,,2,,FF0000,F2F2F2
000014.000011.104:14,000011,EC,EC 14,,2,,FF0000,F2F2F2
000014.000011.105:14,000011,EC,EC 14,,2,,FF0000,F2F2F2
000014.000011.106:14,000011,EC,EC 14,,2,,FF0000,F2F2F2
000015.000011.101:15,000011,EC,EC 15,,2,,FF0000,F2F2F2
000015.000011.102:15,000011,EC,EC 15,,2,,FF0000,F2F2F2
000015.000011.103:15,000011,EC,EC 15,,2,,FF0000,F2F2F2
000015.000011.104:15,000011,EC,EC 15,,2,,FF0000,F2F2F2
000015.000011.105:15,000011,EC,EC 15,,2,,FF0000,F2F2F2
000015.000011.106:15,000011,EC,EC 15,,2,,FF0000,F2F2F2
000015.000011.107:15,000011,EC,EC 15,,2,,FF0000,F2F2F2
000016.000011.101:16,000011,EC,EC 16,,2,,FF0000,F2F2F2
000016.000011.102:16,000011,EC,EC 16,,2,,FF0000,F2F2F2
000016.000011.103:16,000011,EC,EC 16,,2,,FF0000,F2F2F2
000016.000011.104:16,000011,EC,EC 16,,2,,FF0000,F2F2F2
000016.000011.105:16,000011,EC,EC 16,,2,,FF0000,F2F2F2
000017.000011.101:17,000011,EC,EC 17,,2,,FF0000,F2F2F2
000017.000011.102:17,000011,EC,EC 17,,2,,FF0000,F2F2F2
000017.000011.103:17,000011,EC,EC 17,,2,,FF0000,F2F2F2
000017.000011.105:17,000011,EC,EC 17,,2,,FF0000,F2F2F2
000018.000011.101:18,000011,EC,EC 18,,2,,FF0000,F2F2F2
000018.000011.102:18,000011,EC,EC 18,,2,,FF0000,F2F2F2
000018.000011.103:18,000011,EC,EC 18,,2,,FF0000,F2F2F2
000018.000011.104:18,000011,EC,EC 18,,2,,FF0000,F2F2F2
000018.000011.105:18,000011,EC,EC 18,,2,,FF0000,F2F2F2
000019.000011.101:19,000011,EC,EC 19,,2,,FF0000,F2F2F2
000019.000011.102:19,000011,EC,EC 19,,2,,FF0000,F2F2F2
000019.000011.103:19,000011,EC,EC 19,,2,,FF0000,F2F2F2
000019.000011.105:19,000011,EC,EC 19,,2,,FF0000,F2F2F2
000020.000011.101:20,000011,EC,EC 20,,2,,FF0000,F2F2F2
000020.000011.102:20,000011,EC,EC 20,,2,,FF0000,F2F2F2
