stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_elevation,zone_id,stop_url,location_type,parent_station,platform_code,ch_station_long_name,ch_station_synonym1,ch_station_synonym2,ch_station_synonym3,ch_station_synonym4
0000132,,Bahn-2000-Strecke,,47.196374,7.689360,0,,,0,,,Bahn-2000-Strecke,,,,
0000133,,Centovalli,,46.154371,8.603653,0,,,0,,,Centovalli,,,,
0000134,,Furka-Basistunnel,,46.530761,8.435917,0,,,0,,,Furka-Basistunnel,,,,
0000135,,Lötschberg-Basistunnel,,46.356888,7.773846,0,,,0,,,Lötschberg-Basistunnel,,,,
0000136,,Lötschberg-Bergstrecke,,46.433756,7.717215,0,,,0,,,Lötschberg-Bergstrecke,,,,
0000137,,Rotsee,,47.074530,8.320797,0,,,0,,,Rotsee,,,,
0000138,,Vereina,,46.808381,9.985688,0,,,0,,,Vereina,,,,
0000139,,Seedamm,,47.217327,8.805061,0,,,0,,,Seedamm,,,,
0000140,,Gotthard-Panoramastrecke,,46.604329,8.594652,0,,,0,,,Gotthard-Panoramastrecke,,,,
0000141,,Oberalp,,46.660880,8.661120,0,,,0,,,Oberalp,,,,
0000142,,Simplontunnel,,46.274969,8.088979,0,,,0,,,Simplontunnel,,,,
0000174,,Gotthard-Basistunnel,,46.680773,8.765599,0,,,0,,,Gotthard-Basistunnel,,,,
0000175,,Hauenstein-Basistunnel,,47.401154,7.905118,0,,,0,,,Hauenstein-Basistunnel,,,,
0000176,,Zimmerberg-Basistunnel,,47.351679,8.521961,0,,,0,,,Zimmerberg-Basistunnel,,,,
0000181,,Albulatunnel,,46.574006,9.811342,0,,,0,,,Albulatunnel,,,,
1402625,,Pont-de-Claix l'Étoile,,45.137480,5.702577,0,,,0,,,,,,,
5457076,PRAH,Praha hl. n.,,50.083062,14.436039,0,,,0,,,,Prag,Praga,Prague,Praha
5510017,BUDK,Budapest-Keleti,,47.500383,19.085071,0,,,0,,,,Budapest Ostbahnhof,,,
5613206,BRAT,Bratislava hlavna stanica,,48.158910,17.106466,0,,,0,,,,Bratislava Hauptbahnhof,Presporok hlavna stancia,Pressburg Hauptbahnhof,
8001093,HAAL,Hamburg-Altona,,53.552695,9.935175,0,,,0,,,,,,,
8002301,LIRE,Lindau-Reutin,,47.552384,9.703292,0,,,1,,,,Lindau Fernbahnhof,,,
8002370,LIAE,Lindau-Aeschach,,47.559620,9.684660,0,,,1,,,,,,,
8002371,LIND,Lindau-Insel,,47.544341,9.680469,0,,,1,,,,,,,
8002373,ENZI,Enzisweiler,,47.564142,9.665429,0,,,1,,,,,,,
8002374,WABU,Wasserburg (Bodensee),,47.571903,9.639064,0,,,1,,,,,,,
8002375,NONN,Nonnenhorn,,47.575118,9.612676,0,,,1,,,,,,,
8003005,BEOS,Berlin Ostbahnhof,,52.510977,13.434563,0,,,0,,,,BEOB,Berlin Schlesischer Bahnhof,,
8004235,,Durmersheim Nord,,48.937796,8.280581,0,,,1,,,,,,,
8010053,DORT,Dortmund Hbf,,51.517896,7.459290,0,,,0,,,,EDO,,,
8011065,FRKS,Frankfurt (Main) Süd,,50.099365,8.686457,0,,,0,,,,,,,
8011068,FRKF,Frankfurt (Main) Hbf,,50.106682,8.662828,0,,,0,,,,Francfort,Frankfurt (Main),Frankfurt Hbf,
8013050,GOET,Göttingen,,51.536815,9.926072,0,,,0,,,,,,,
8013176,,Epfenhofen,,47.822318,8.553430,0,,,0,,,,,,,
8013552,HANP,Hannover Hbf,,52.376761,9.741021,0,,,0,,,,Hannover,,,
8014008,MAHB,Mannheim Hbf,,49.479354,8.468921,0,,,0,,,,Mannheim,,,
8014010,MANH,Mannheim Hgbf,,49.498200,8.447500,0,,,0,,,,,,,
8014181,DOG,Dogern,,47.608887,8.167356,330,,,1,,,,,,,
8014228,KAR,Karlsruhe Hbf,,48.993515,8.402181,0,,,1,,,,Karlsruhe,,,
8014235,DURM,Durmersheim,,48.928904,8.272631,0,,,1,,,,,,,
8014236,,Bietigheim (Baden),,48.910587,8.258045,0,,,1,,,,,,,
8014237,,Ötigheim,,48.888381,8.240404,0,,,1,,,,,,,
8014238,ETWE,Ettlingen West,,48.947182,8.387878,0,,,1,,,,,,,
8014239,RBRH,Bruchhausen (b Ettl),,48.923992,8.373975,0,,,1,,,,,,,
8014240,RMAL,Malsch,,48.889506,8.323585,0,,,1,,,,,,,
8014241,MUGG,Muggensturm,,48.876666,8.273716,0,,,1,,,,,,,
8014245,RAS,Rastatt,,48.860483,8.215623,0,,,1,,,,,,,
8014277,BBA,Baden-Baden,,48.790327,8.190831,0,,,1,,,,,,,
8014281,BUEB,Bühl (Baden),,48.696676,8.129299,0,,,1,,,,,,,
8014283,ACHR,Achern,,48.633990,8.065324,0,,,1,,,,,,,
8014288,REXZ,Renchen (D),,48.592660,8.007138,0,,,1,,,,,,,
8014289,APP,Appenweier,,48.541461,7.973190,0,,,1,,,,,,,
8014309,OFF,Offenburg,,48.476475,7.946723,0,,,1,,,,,,,
8014318,FRSH,Friesenheim (Baden),,48.381589,7.862948,0,,,1,,,,,,,
8014319,LAHR,Lahr (Schwarzw),,48.340958,7.835572,0,,,1,,,,,,,
8014324,ORSW,Orschweier,,48.274192,7.790281,0,,,1,,,,,,,
8014325,RING,Ringsheim/Europa-Park,,48.248726,7.773037,0,,,1,,,,,,,
8014326,HEBO,Herbolzheim (Breisgau),,48.223866,7.767638,0,,,1,,,,,,,
8014327,KENZ,Kenzingen,,48.194451,7.764094,0,,,1,,,,,,,
8014328,RIEG,Riegel-Malterdingen,,48.151969,7.770850,0,,,1,,,,,,,
8014329,KOEN,Köndringen,,48.137458,7.802925,0,,,1,,,,,,,
8014330,TENI,Teningen-Mundingen,,48.128777,7.824408,0,,,1,,,,,,,
8014331,EMME,Emmendingen,,48.119454,7.847511,0,,,1,,,,,,,
8014332,KOMR,Kollmarsreute,,48.098271,7.887074,0,,,1,,,,,,,
8014335,DENZ,Denzlingen,,48.068817,7.881687,0,,,1,,,,,,,
8014347,GUND,Gundelfingen (Breisgau),,48.044025,7.874185,0,,,1,,,,,,,
8014348,FRBZ,Freiburg(Breisgau) Zähringen,,48.024363,7.863734,0,,,1,,,,,,,
8014349,FRBH,Freiburg(Breisgau) Herdern,,48.008237,7.850973,0,,,1,,,,,,,
8014350,FRBR,Freiburg(Breisgau) Hbf,,47.997697,7.841170,0,,,1,,,,Freiburg im Breisgau,,,
