from_stop_id,to_stop_id,transfer_type,min_transfer_time
8301645,8301700,2,1500
8301700,8301645,2,1500
8501118,8530749,2,180
8501120,8592050,2,300
8501160,8592133,2,360
8501181,8591818,2,180
8501405,8501561,2,900
8501421,8501463,2,600
8501422,8501462,2,300
8501422,8501726,2,360
8501462,8501422,2,300
8501463,8501421,2,600
8501561,8501405,2,900
8501609,8515296,2,420
8501689,8501690,2,300
8501690,8501689,2,300
8501726,8501422,2,360
8502102,8502194,2,240
8502194,8502102,2,240
8503239,8503240,2,360
8503240,8503239,2,360
8503310,8503340,2,360
8503340,8503310,2,360
8504139,8504182,2,720
8504182,8504139,2,720
8504222,8504480,2,600
8504480,8504222,2,600
8505004,8505063,2,300
8505063,8505004,2,300
8505163,8530612,2,300
8505226,8507376,2,600
8505300,8505391,2,240
8505391,8505300,2,240
8505400,8505470,2,240
8505470,8505400,2,240
8507376,8505226,2,600
8508001,8508057,2,240
8508057,8508001,2,240
8508305,8508350,2,180
8508317,8508458,2,420
8508350,8508305,2,300
8508395,8530800,2,360
8508458,8508317,2,420
8509254,8509351,2,360
8509351,8509254,2,360
8515296,8501609,2,420
8516174,8517142,2,300
8517142,8516174,2,300
8530612,8505163,2,300
8530749,8501118,2,180
8530800,8508395,2,360
8590442,8591818,2,480
8591818,8501181,2,180
8591818,8590442,2,600
8592050,8501120,2,300
8592050,8592052,2,300
8592052,8592050,2,300
8592133,8501160,2,360
8711300,8727100,2,1800
8711300,8754700,2,2400
8711300,8768600,2,3600
8711300,8768666,2,3900
8718440,8730082,2,300
8722326,8728600,2,1200
8727100,8711300,2,1800
8727100,8754700,2,3600
8727100,8768600,2,2400
8727100,8768666,2,4500
8728600,8722326,2,1200
8730082,8718440,2,300
8754700,8711300,2,3600
8754700,8727100,2,3600
8754700,8768600,2,2400
8754700,8768666,2,3600
8768600,8711300,2,3600
8768600,8727100,2,2400
8768600,8754700,2,2400
8768600,8768666,2,1200
8768666,8711300,2,3600
8768666,8727100,2,4500
8768666,8754700,2,3600
8768666,8768600,2,1200
8774407,8774647,2,300
8774647,8774407,2,300
0000132,0000132,3,
0000133,0000133,3,
0000134,0000134,3,
0000135,0000135,3,
0000136,0000136,3,
0000137,0000137,3,
0000138,0000138,3,
0000139,0000139,3,
0000140,0000140,3,
0000141,0000141,3,
0000142,0000142,3,
0000174,0000174,3,
0000175,0000175,3,
0000176,0000176,3,
0000181,0000181,3,
8014010,8014010,3,
8014547,8014547,3,
8500038,8500038,3,
8500195,8500195,3,
8500272,8500272,3,
8501217,8501217,3,
8501446,8501446,3,
8501447,8501447,3,
8501634,8501634,3,
8502042,8502042,3,
8503131,8503131,3,
8504509,8504509,3,
8505372,8505372,3,
8505373,8505373,3,
8505374,8505374,3,
8508173,8508173,3,
8508193,8508193,3,
8508285,8508285,3,
8508286,8508286,3,
8508287,8508287,3,
8508449,8508449,3,
8516353,8516353,3,
8517131,8517131,3,
8517485,8517485,3,
8517527,8517527,3,
8518100,8518100,3,
8518400,8518400,3,
8518690,8518690,3,
8519153,8519153,3,
8519306,8519306,3,
8530613,8530613,3,
8530614,8530614,3,
8530760,8530760,3,
8530800,8530800,3,
8530801,8530801,3,
8530858,8530858,3,
8592017,8592017,3,
8592048,8592048,3,
8592052,8592052,3,
8592128,8592128,3,
8593775,8593775,3,
8593776,8593776,3,
8594466,8594466,3,
8717146,8717146,3,
0000132,0000132,2,120
0000133,0000133,2,120
0000134,0000134,2,120
0000135,0000135,2,120
0000136,0000136,2,120
0000137,0000137,2,120
0000138,0000138,2,120
0000139,0000139,2,120
0000140,0000140,2,120
0000141,0000141,2,120
0000142,0000142,2,120
0000174,0000174,2,120
0000175,0000175,2,120
0000176,0000176,2,120
0000181,0000181,2,120
1402625,1402625,2,120
5457076,5457076,2,480
5510017,5510017,2,420
5613206,5613206,2,300
8001093,8001093,2,300
8002301,8002301,2,240
8002370,8002370,2,300
8002371,8002371,2,180
8002373,8002373,2,300
8002374,8002374,2,300
