route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,bikes_allowed,attributes_ch
000003.000011.101:3,735357,0:1,Zürich HB,3,,,,1,VR;WR
000003.000011.101:3,000002,0:2,Zürich HB,3,,,,1,VR;WR
000003.000011.101:3,412853,0:3,Zürich HB,3,,,,1,VR;WR
000003.000011.101:3,730951,0:4,Zürich HB,3,,,,1,VR;WR
000003.000011.101:3,659688,0:5,Zürich HB,3,,,,1,VR;WR
000003.000011.101:3,055367,0:6,Zürich HB,3,,,,1,VR;WR
000003.000011.101:3,716976,0:7,Zürich HB,3,,,,1,VR;WR
000003.000011.101:3,000003,0:8,Zürich HB,3,,,,1,VR;WR
000003.000011.101:3,000004,0:9,Zürich HB,3,,,,1,VR;WR
000003.000011.102:3,442609,1:1,Zürich HB,3,,,,1,VR;WR
000003.000011.102:3,580144,1:2,Zürich HB,3,,,,1,VR;WR
000003.000011.102:3,574246,1:3,Zürich HB,3,,,,1,VR;WR
000003.000011.102:3,735472,1:4,Zürich HB,3,,,,1,VR;WR
000003.000011.102:3,000005,1:5,Zürich HB,3,,,,1,VR;WR
000003.000011.102:3,565862,1:6,Zürich HB,3,,,,1,VR;WR
000003.000011.103:3,558786,2:1,Zürich HB,3,,,,1,VR;WR
000003.000011.103:3,024355,2:2,Zürich HB,3,,,,1,VR;WR
000003.000011.104:3,567753,3:1,Zürich HB,3,,,,1,VR;WR
000004.000011.101:4,561585,4:1,Basel Bad Bf,4,,,,0,
000004.000011.101:4,426006,4:2,Basel Bad Bf,4,,,,0,
000004.000011.101:4,085109,4:3,Basel Bad Bf,4,,,,0,
000004.000011.101:4,000006,4:4,Basel Bad Bf,4,,,,0,
000004.000011.101:4,730943,4:5,Basel Bad Bf,4,,,,0,
000004.000011.101:4,696129,4:6,Basel Bad Bf,4,,,,0,
000004.000011.101:4,333966,4:7,Basel Bad Bf,4,,,,0,
000004.000011.101:4,000007,4:8,Basel Bad Bf,4,,,,0,
000004.000011.101:4,000008,4:9,Basel Bad Bf,4,,,,0,
000004.000011.101:4,000009,4:10,Basel Bad Bf,4,,,,0,
000004.000011.101:4,370959,4:11,Basel Bad Bf,4,,,,0,
000004.000011.101:4,000012,4:12,Basel Bad Bf,4,,,,0,
000004.000011.101:4,077571,4:13,Basel Bad Bf,4,,,,0,
